dataset,reference_epoch,monitoring_epoch,reference_file,monitoring_file,reference_points,monitoring_points,corepoints,normal_radii,cyl_radius,max_distance,valid_count,mean_mm,median_mm,p95_abs_mm,max_abs_mm,uncertainty_p95_mm,validation_source,validation_metric_count,validation_mean_abs_error_mm,validation_max_abs_error_mm
data\blender_lidar_t0t5,T0,T1,T0_raycast.txt,T1_raycast.txt,112523,112523,5000,0.5;1.0;2.0,0.4,1.0,5000,-0.05050903587692712,-2.1331728797642947e-13,0.11584379198109604,4.711957868464059,5.89199118148143,data\blender_lidar_t0t5\series_validation.csv,3,0.09999999999999999,0.3
data\blender_lidar_t0t5,T0,T2,T0_raycast.txt,T2_raycast.txt,112523,112523,5000,0.5;1.0;2.0,0.4,1.0,5000,-0.15196044935914355,-2.8377164557204977e-12,2.699827470187361,11.716335612622416,5.875323330288222,data\blender_lidar_t0t5\series_validation.csv,3,0.06666666666666667,0.2
data\blender_lidar_t0t5,T0,T3,T0_raycast.txt,T3_raycast.txt,112523,112526,5000,0.5;1.0;2.0,0.4,1.0,5000,-0.3525982486501399,-0.033305654053862516,6.494242261559064,19.0986471940181,5.862099265768209,data\blender_lidar_t0t5\series_validation.csv,3,0.8000000000000002,2.2
data\blender_lidar_t0t5,T0,T4,T0_raycast.txt,T4_raycast.txt,112523,112533,5000,0.5;1.0;2.0,0.4,1.0,5000,-0.5654990395772257,-0.061540569263229775,11.445841623506915,29.404401412207765,5.842832752143235,data\blender_lidar_t0t5\series_validation.csv,3,2.1999999999999997,3.6
data\blender_lidar_t0t5,T0,T5,T0_raycast.txt,T5_raycast.txt,112523,112536,5000,0.5;1.0;2.0,0.4,1.0,5000,-0.8817720469679261,-0.07946427379258691,17.99124398210298,43.0751045853266,5.943406208479008,data\blender_lidar_t0t5\series_validation.csv,3,3.233333333333333,5.5
