# x y z nx ny nz intensity label
1.68042 19.19574 0.52228 0.000000 0.000000 0.000000 0.041245 1
1.60022 19.13464 0.18478 0.000000 0.000000 0.000000 0.071000 4
1.65452 18.44674 0.60498 0.000000 0.000000 0.000000 0.028840 1
1.61682 18.92414 1.02198 0.000000 0.000000 0.000000 0.072206 1
1.59592 18.18944 0.36848 0.000000 0.000000 0.000000 0.050187 1
1.62592 17.83684 0.75638 0.000000 0.000000 0.000000 0.009995 1
1.53662 18.88704 1.18698 0.000000 0.000000 0.000000 0.060838 1
1.57142 17.59164 0.37778 0.000000 0.000000 0.000000 0.010910 1
1.59992 17.28004 0.74818 0.000000 0.000000 0.000000 0.081865 1
1.52182 18.13594 1.15308 0.000000 0.000000 0.000000 0.046418 1
1.54922 17.04554 0.38628 0.000000 0.000000 0.000000 0.097337 1
1.57702 16.76054 0.74058 0.000000 0.000000 0.000000 0.071290 1
1.50622 17.48774 1.12388 0.000000 0.000000 0.000000 0.010132 1
1.48832 16.93834 0.24558 0.000000 0.000000 0.000000 0.112535 1
1.55542 16.28944 0.59938 0.000000 0.000000 0.000000 0.062837 1
1.53212 16.51474 0.94258 0.000000 0.000000 0.000000 0.079133 1
1.33582 18.41104 1.40748 0.000000 0.000000 0.000000 0.070741 1
1.49402 16.23434 0.33198 0.000000 0.000000 0.000000 0.047517 1
1.53792 15.83354 0.66258 0.000000 0.000000 0.000000 0.042939 1
1.49992 16.18044 0.99828 0.000000 0.000000 0.000000 0.095308 1
1.34982 16.89814 0.03318 0.000000 0.000000 0.000000 0.083772 1
1.49362 15.65714 0.40788 0.000000 0.000000 0.000000 0.065965 1
1.51932 15.43554 0.72108 0.000000 0.000000 0.000000 0.114107 1
1.46802 15.87804 1.05138 0.000000 0.000000 0.000000 0.091783 1
1.38902 15.99124 0.14058 0.000000 0.000000 0.000000 0.050980 1
1.48912 15.17164 0.47578 0.000000 0.000000 0.000000 0.113176 1
1.50062 15.07754 0.77568 0.000000 0.000000 0.000000 0.099489 1
1.43302 15.63084 1.10378 0.000000 0.000000 0.000000 0.064668 1
1.34172 15.84584 0.08148 0.000000 0.000000 0.000000 0.074220 1
1.46282 14.90214 0.41958 0.000000 0.000000 0.000000 0.103090 1
1.48822 14.70414 0.71038 0.000000 0.000000 0.000000 0.059907 1
1.46772 14.86414 1.00568 0.000000 0.000000 0.000000 0.233371 8
1.28882 15.75524 0.02108 0.000000 0.000000 0.000000 0.132418 1
1.43732 14.65054 0.36618 0.000000 0.000000 0.000000 0.091447 1
1.47442 14.37524 0.64998 0.000000 0.000000 0.000000 0.108583 1
1.44862 14.56694 0.93558 0.000000 0.000000 0.000000 0.089982 1
1.31432 15.56554 1.29058 0.000000 0.000000 0.000000 0.026429 1
1.41002 14.43364 0.31478 0.000000 0.000000 0.000000 0.141009 1
1.45962 14.08174 0.59368 0.000000 0.000000 0.000000 0.126589 1
1.44952 14.15314 0.86518 0.000000 0.000000 0.000000 0.074006 1
1.35682 14.81204 1.17938 0.000000 0.000000 0.000000 0.089845 1
1.28782 14.88044 0.06648 0.000000 0.000000 0.000000 0.070314 1
1.41592 14.00904 0.37998 0.000000 0.000000 0.000000 0.138857 1
1.44962 13.77954 0.64488 0.000000 0.000000 0.000000 0.083055 1
1.42862 13.92264 0.91058 0.000000 0.000000 0.000000 0.101671 1
1.32232 14.64634 1.22688 0.000000 0.000000 0.000000 0.056184 1
1.35102 14.07994 0.21648 0.000000 0.000000 0.000000 0.095842 1
1.42582 13.59164 0.49078 0.000000 0.000000 0.000000 0.140414 1
1.43762 13.51454 0.74338 0.000000 0.000000 0.000000 0.126436 1
1.39452 13.79624 1.01038 0.000000 0.000000 0.000000 0.081880 1
1.22072 14.93064 1.36648 0.000000 0.000000 0.000000 0.037079 1
1.34412 13.78104 0.22828 0.000000 0.000000 0.000000 0.116930 1
1.41592 13.33074 0.49318 0.000000 0.000000 0.000000 0.110124 1
1.42712 13.26084 0.73818 0.000000 0.000000 0.000000 0.100847 1
1.38752 13.50904 0.99578 0.000000 0.000000 0.000000 0.110674 1
1.23602 14.45914 1.32798 0.000000 0.000000 0.000000 0.092012 1
1.31402 13.64434 0.18208 0.000000 0.000000 0.000000 0.098848 1
1.39692 13.14384 0.44678 0.000000 0.000000 0.000000 0.110628 1
