# x y z nx ny nz intensity label
1.66852 19.33307 0.43428 0.000000 0.000000 0.000000 0.064881 1
1.67702 19.21627 0.85938 0.000000 0.000000 0.000000 0.042023 1
1.65372 18.42907 0.60298 0.000000 0.000000 0.000000 0.066804 1
1.61672 18.89997 1.01878 0.000000 0.000000 0.000000 0.051514 1
1.59512 18.17277 0.36688 0.000000 0.000000 0.000000 0.030884 1
1.62492 17.82047 0.75398 0.000000 0.000000 0.000000 0.037110 1
1.53742 18.85457 1.18308 0.000000 0.000000 0.000000 0.060456 1
1.58372 17.43077 0.45248 0.000000 0.000000 0.000000 0.049744 1
1.59402 17.31777 0.81988 0.000000 0.000000 0.000000 0.066819 1
1.42702 18.28047 0.04778 0.000000 0.000000 0.000000 0.073854 1
1.56082 16.90077 0.45748 0.000000 0.000000 0.000000 0.078294 1
1.57172 16.78837 0.80888 0.000000 0.000000 0.000000 0.091112 1
1.47092 17.82767 1.21348 0.000000 0.000000 0.000000 0.049577 1
1.48732 16.92377 0.24428 0.000000 0.000000 0.000000 0.084077 1
1.55462 16.27097 0.59738 0.000000 0.000000 0.000000 0.072908 1
1.53152 16.49447 0.93958 0.000000 0.000000 0.000000 0.033906 1
1.35122 17.51597 0.00328 0.000000 0.000000 0.000000 0.073594 1
1.50932 16.06947 0.39958 0.000000 0.000000 0.000000 0.078462 1
1.53632 15.82197 0.72458 0.000000 0.000000 0.000000 0.035218 1
1.47952 16.34197 1.06978 0.000000 0.000000 0.000000 0.095369 1
1.34872 16.88677 0.03218 0.000000 0.000000 0.000000 0.044541 1
1.49252 15.64207 0.40628 0.000000 0.000000 0.000000 0.082506 1
1.51852 15.41687 0.71868 0.000000 0.000000 0.000000 0.145922 1
1.46732 15.86027 1.04808 0.000000 0.000000 0.000000 0.036713 1
1.38772 15.98037 0.13948 0.000000 0.000000 0.000000 0.092164 1
1.48842 15.15287 0.47408 0.000000 0.000000 0.000000 0.091676 1
1.50032 15.05547 0.77298 0.000000 0.000000 0.000000 0.092790 1
1.43362 15.60317 1.09978 0.000000 0.000000 0.000000 0.072999 1
1.34002 15.83897 0.08028 0.000000 0.000000 0.000000 0.099001 1
1.46242 14.88197 0.41808 0.000000 0.000000 0.000000 0.132113 1
1.48732 14.68667 0.70798 0.000000 0.000000 0.000000 0.041337 1
1.46442 14.86617 1.00328 0.000000 0.000000 0.000000 0.223972 8
1.33522 15.38977 0.10088 0.000000 0.000000 0.000000 0.082841 1
1.44922 14.53977 0.42338 0.000000 0.000000 0.000000 0.093767 1
1.47412 14.35427 0.70308 0.000000 0.000000 0.000000 0.102815 1
1.43492 14.64627 0.99358 0.000000 0.000000 0.000000 0.068055 1
1.25022 16.02327 1.38608 0.000000 0.000000 0.000000 0.053498 1
1.40902 14.41967 0.31348 0.000000 0.000000 0.000000 0.083452 1
1.45952 14.05977 0.59158 0.000000 0.000000 0.000000 0.136172 1
1.44832 14.13957 0.86238 0.000000 0.000000 0.000000 0.136538 1
1.35792 14.78357 1.17488 0.000000 0.000000 0.000000 0.058274 1
1.32642 14.59827 0.13708 0.000000 0.000000 0.000000 0.096132 1
1.42572 13.92047 0.43298 0.000000 0.000000 0.000000 0.129473 1
1.44992 13.75527 0.69438 0.000000 0.000000 0.000000 0.126619 1
1.41712 13.97927 0.96368 0.000000 0.000000 0.000000 0.102220 1
1.27682 14.93657 1.30398 0.000000 0.000000 0.000000 0.052369 1
1.37222 13.92137 0.27418 0.000000 0.000000 0.000000 0.165499 1
1.43182 13.53107 0.53988 0.000000 0.000000 0.000000 0.111574 1
1.43332 13.52177 0.79178 0.000000 0.000000 0.000000 0.122301 1
1.37712 13.88927 1.06548 0.000000 0.000000 0.000000 0.106752 1
1.24122 14.40857 0.03308 0.000000 0.000000 0.000000 0.040909 1
1.38152 13.52657 0.33808 0.000000 0.000000 0.000000 0.113695 1
1.42592 13.24717 0.58958 0.000000 0.000000 0.000000 0.111543 1
1.41782 13.29827 0.83488 0.000000 0.000000 0.000000 0.147372 1
1.35022 13.72327 1.10808 0.000000 0.000000 0.000000 0.101213 1
1.19082 14.37067 -0.02112 0.000000 0.000000 0.000000 0.076936 1
1.35732 13.36367 0.29288 0.000000 0.000000 0.000000 0.095613 1
1.41112 13.03867 0.54158 0.000000 0.000000 0.000000 0.127916 1
1.41492 13.01517 0.77828 0.000000 0.000000 0.000000 0.137438 1
1.36502 13.31707 1.03298 0.000000 0.000000 0.000000 0.085832 1
1.18972 14.37737 1.37518 0.000000 0.000000 0.000000 0.067613 1
1.30872 13.35437 0.19388 0.000000 0.000000 0.000000 0.123583 1
1.38732 12.89637 0.44878 0.000000 0.000000 0.000000 0.095796 1
1.40932 12.76807 0.67998 0.000000 0.000000 0.000000 0.123781 1
