main_metric,Crown settlement + deformation summary
measured_point,Tunnel crown
location,Ch 66.6m

epoch,location,measured_point,crown_settlement_mm,new_crown_move_mm,median_displacement_mm,cumulative_p95_abs_mm,cumulative_max_abs_mm,incremental_p95_abs_mm,velocity_mm_per_epoch,acceleration_mm_per_epoch2,result
T1,Ch 66.6m,Tunnel crown,-9.68,-9.68,-0.00,+3.77,+9.96,+3.77,+3.77,+3.77,OK
T2,Ch 66.6m,Tunnel crown,-21.31,-11.62,-0.00,+8.45,+21.92,+4.75,+4.68,+0.91,Warning
T3,Ch 66.6m,Tunnel crown,-36.80,-15.50,-0.00,+14.96,+37.86,+6.50,+6.51,+1.83,Danger
T4,Ch 66.6m,Tunnel crown,-56.17,-19.37,-0.00,+23.14,+57.78,+8.14,+8.18,+1.67,Danger
T5,Ch 66.6m,Tunnel crown,-77.48,-21.31,-0.00,+32.08,+79.70,+8.97,+8.94,+0.76,Danger
