epoch,chainage_m,ground_truth_mm,tool_regular_crown_mm,tool_raycast_crown_mm,regular_error_mm,raycast_error_mm,regular_error_pct,raycast_error_pct,regular_zone_points,raycast_zone_points
T0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10710,8455
T1,52.0,-10.0,-9.9,-10.243,0.1,-0.243,1.0,-2.43,10710,8379
T2,52.0,-22.0,-21.7,-21.632,0.3,0.368,1.364,1.673,10710,8366
T3,52.0,-38.0,-37.6,-37.07,0.4,0.93,1.053,2.447,10710,8371
T4,52.0,-58.0,-57.3,-56.607,0.7,1.393,1.207,2.402,10710,8393
T5,52.0,-80.0,-79.1,-77.9,0.9,2.1,1.125,2.625,10710,8373
